Asset Name,Source,Creator,License,Acquisition Date,Original Location,Imported Location,Modification Allowed,Redistribution Allowed,Attribution Required,Modifications Made,Responsible Project Area
Anti Slip Concrete,https://polyhaven.com/a/anti_slip_concrete,Charlotte Baglioni,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/architecture/anti_slip_concrete_*,Yes,Yes,No,"Selected diffuse, normal, and roughness maps; normalized filenames",World/Materials
Concrete Floor 02,https://polyhaven.com/a/concrete_floor_02,Rob Tuytel,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/architecture/concrete_floor_02_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Concrete Wall 001,https://polyhaven.com/a/concrete_wall_001,"Dimitrios Savva; Rico Cilliers",CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/architecture/concrete_wall_001_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Plastered Wall,https://polyhaven.com/a/plastered_wall,Amal Kumar,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/architecture/plastered_wall_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Worn Plaster Wall,https://polyhaven.com/a/worn_plaster_wall,Dimitrios Savva,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/architecture/worn_plaster_wall_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Bark Brown 01,https://polyhaven.com/a/bark_brown_01,Rob Tuytel,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/nature/bark_brown_01_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Rusty Metal,https://polyhaven.com/a/rusty_metal,Rob Tuytel,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/props/rusty_metal_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Wood Planks,https://polyhaven.com/a/wood_planks,Amal Kumar,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/props/wood_planks_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Asphalt Floor,https://polyhaven.com/a/asphalt_floor,eye-candy.xyz,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/roads/asphalt_floor_*,Yes,Yes,No,"Selected diffuse, normal, and roughness maps; normalized filenames",World/Materials
Concrete Floor,https://polyhaven.com/a/concrete_floor,eye-candy.xyz,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/roads/concrete_floor_*,Yes,Yes,No,"Selected diffuse, normal, and roughness maps; normalized filenames",World/Materials
Concrete Pavement,https://polyhaven.com/a/concrete_pavement,Charlotte Baglioni,CC0,2026-07-28,Poly Haven 1K JPG download,public/textures/roads/concrete_pavement_*,Yes,Yes,No,"Selected diffuse and normal maps; normalized filenames",World/Materials
Shenron City Capybara,"Project-authored profile and turnaround; https://huggingface.co/stabilityai/TripoSR","xxvovalamaxx-ops; OpenAI image generation; Tripo AI and Stability AI",Project asset; TripoSR MIT,2026-07-28,SourceAssets/Models/Characters/Source/Capybara/capybara_triposr_input.png,public/models/animals/capybara/capybara.glb,Yes,Yes,No,"Local reconstruction; fine voxel closure; game retopology; four-view PBR bake; 43-bone rig; 21 named animation clips",Characters/Animals
